Id,Date,California_County,Cumulative_ConfirmedCases,Cumulative_Deaths,Instructions,Grocery_&_Essential_Retail,Government,Restaurants_&_Bars,Schools,Recreation,Parks,Gatherings
1,3/22/2020,Alameda,70,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
2,3/22/2020,Alpine,0,0,,,,,,,,
3,3/22/2020,Amador,2,0,,,,,,,,
4,3/22/2020,Butte,1,0,,,,,,,,
5,3/22/2020,Calaveras,2,0,,,,,,,,
6,3/22/2020,Colusa,0,0,,,,,,,,
7,3/22/2020,Contra Costa,51,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
8,3/22/2020,Del Norte,0,0,,,,,,,,
9,3/22/2020,El Dorado,2,0,Shelter in place,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,Except in individual households
10,3/22/2020,Fresno,6,0,Shelter in place in city of Fresno recommended,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,No more than 250 people
11,3/22/2020,Glenn,0,0,,,,,,,,
12,3/22/2020,Humboldt,2,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
13,3/22/2020,Imperial,6,0,,,,,,,,
14,3/22/2020,Inyo,0,0,,,,,,,,
15,3/22/2020,Kern,4,0,,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,No more than 250 people
16,3/22/2020,Kings,0,0,,,,,,,,
17,3/22/2020,Lake,0,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
18,3/22/2020,Lassen,0,0,,,,,,,,
